name,manufacturer,serving_size,energy_kcal,protein_g,carbohydrate_g,fat_g,sugar_g,sodium_mg,fiber_g,energy_percentage_dv,protein_percentage_dv,carbohydrate_percentage_dv,fat_percentage_dv,sodium_percentage_dv,Lemak jenuh,Natrium,Protein,Karbohidrat total,Energi,Lemak total,Serat pangan,serving_size_g,serving_size_issue,serving_size_g_clean,risk_energy,risk_fat_total,risk_saturated_fat,risk_sodium,risk_sugar,label_konsumsi,alasan_label,garam_g_estimasi,risk_energy_score,risk_fat_total_score,risk_saturated_fat_score,risk_sodium_score,risk_sugar_score,total_risk_score,persen_akg_energi,persen_akg_protein,persen_akg_lemak_total,persen_akg_karbohidrat,persen_akg_serat,persen_akg_natrium,persen_akg_garam,manufacturer_clean
Marie duo,Tidak Diketahui,1 g,15.0,1.0,14.0,3.5,5.0,85.0,1.0,4.19,1.67,4.31,5.22,5.67,10.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (10.00%),0.2125,0,0,1,0,0,1,0.57,1.54,4.67,3.26,2.7,5.67,5.67,Tidak Diketahui
Coklat silverqueen almond,PT. Petra food indonesia,4 g,170.0,4.0,14.0,11.0,11.0,0.0,0.0,7.91,6.67,4.31,16.42,0.0,0.0,0.0,7.0,0.0,8.0,17.0,0.0,4.0,0,4.0,Aman,Batasi,Aman,Aman,Batasi,Batasi,lemak total %AKG sedang (16.42%); gula sedang (11.00 g),0.0,0,1,0,0,1,2,6.42,6.15,14.67,3.26,0.0,0.0,0.0,PT. Petra food indonesia
Kopi hitam tanpa gula,Tidak Diketahui,0.28 g,2.0,0.28,0.09,0.05,0.0,0.0,0.0,0.09,0.47,0.03,0.07,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.28,0,0.28,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,0.08,0.43,0.07,0.02,0.0,0.0,0.0,Tidak Diketahui
Regal Biskuit Marie,CV. JAYA ABADI,1 g,70.0,1.0,12.0,2.0,0.0,45.0,0.0,3.26,1.67,3.69,2.99,3.0,0.0,3.0,0.0,4.0,4.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.1125,0,0,0,0,0,0,2.64,1.54,2.67,2.79,0.0,3.0,3.0,CV. JAYA ABADI
Susu ultra milk rasa coklat 200 ml,PT. Ultrajaya Milk Industy,6 g,160.0,6.0,24.0,4.0,0.0,45.0,0.0,7.44,10.0,7.38,5.97,3.0,15.0,0.0,10.0,0.0,8.0,0.0,0.0,6.0,0,6.0,Aman,Aman,Batasi,Aman,Aman,Batasi,lemak jenuh %AKG sedang (15.00%),0.1125,0,0,1,0,0,1,6.04,9.23,5.33,5.58,0.0,3.0,3.0,PT. Ultrajaya Milk Industy
Frisian flag putih (kental manis),PT. Frisian Flag Indonesia,1 g,140.0,1.0,23.0,4.0,19.0,0.0,0.0,6.51,1.67,7.08,5.97,0.0,0.0,0.0,0.0,8.0,7.0,6.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (19.00 g),0.0,0,0,0,0,1,1,5.28,1.54,5.33,5.35,0.0,0.0,0.0,PT. Frisian Flag Indonesia
Sedaap Kecap Manis,PT. BUMI ALAM SEGAR,1 g,70.0,1.0,16.0,0.0,13.0,290.0,0.0,3.26,1.67,4.92,0.0,19.33,0.0,20.0,0.0,5.0,4.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Batasi,Batasi,Batasi,natrium %AKG sedang (19.33%); gula sedang (13.00 g),0.725,0,0,0,1,1,2,2.64,1.54,0.0,3.72,0.0,19.33,19.33,PT. BUMI ALAM SEGAR
Es krim Diamond vanilla,PT. Sukanda djaya,2 g,110.0,2.0,12.0,6.0,9.0,0.0,0.0,5.12,3.33,3.69,8.96,0.0,0.0,0.0,0.0,4.0,6.0,9.0,0.0,2.0,0,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,4.15,3.08,8.0,2.79,0.0,0.0,0.0,PT. Sukanda djaya
Saus Char siu (chinese BBQ),Tidak Diketahui,0 g,60.0,0.0,14.0,0.0,13.0,0.0,0.0,2.79,0.0,4.31,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (13.00 g),0.0,0,0,0,0,1,1,2.26,0.0,0.0,3.26,0.0,0.0,0.0,Tidak Diketahui
Biokul natural set yogurt,PT. Sukanda djaya,5 g,70.0,5.0,10.0,1.0,3.0,0.0,0.0,3.26,8.33,3.08,1.49,0.0,0.0,0.0,9.0,4.0,4.0,0.0,0.0,5.0,0,5.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,2.64,7.69,1.33,2.33,0.0,0.0,0.0,PT. Sukanda djaya
Sarden ABC saus tomat,PT. ABC Heinz Indonesia,12 g,100.0,12.0,9.0,2.0,2.0,0.0,0.0,4.65,20.0,2.77,2.99,0.0,0.0,0.0,20.0,0.0,5.0,3.0,0.0,12.0,0,12.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0,0,0,0,0,0,0,3.77,18.46,2.67,2.09,0.0,0.0,0.0,PT. ABC Heinz Indonesia
You C100 Orange water,PT. Djojonegoro,0 g,160.0,0.0,40.0,0.0,40.0,0.0,0.0,7.44,0.0,12.31,0.0,0.0,0.0,0.0,0.0,13.0,8.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (40.00 g),0.0,0,0,0,0,2,2,6.04,0.0,0.0,9.3,0.0,0.0,0.0,PT. Djojonegoro
Diamond Milk Susu UHT Full Cream,PT. Diamond Cold Storage,6 g,120.0,6.0,10.0,6.0,0.0,100.0,0.0,5.58,10.0,3.08,8.96,6.67,0.0,7.0,10.0,0.0,0.0,9.0,0.0,6.0,0,6.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.25,0,0,0,0,0,0,4.53,9.23,8.0,2.33,0.0,6.67,6.67,PT. Diamond Cold Storage
Susu Ultra Milk Rasa coklat 1000 ml,"PT. Ultrajaya Milk Industry, Tbk",8 g,45.0,8.0,30.0,5.0,24.0,55.0,0.0,9.3,13.33,9.23,7.46,3.67,20.0,0.0,14.0,0.0,10.0,0.0,0.0,8.0,0,8.0,Aman,Aman,Waspada,Aman,Waspada,Waspada,lemak jenuh %AKG tinggi (20.00%); gula tinggi (24.00 g),0.1375,0,0,2,0,2,4,1.7,12.31,6.67,6.98,0.0,3.67,3.67,PT. Ultrajaya Milk Industry Tbk.
Nutrisari Yuzu Orange,PT. Nutrifood Indonesia,0 g,45.0,0.0,10.0,0.0,9.0,20.0,0.0,2.09,0.0,3.08,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.05,0,0,0,0,0,0,1.7,0.0,0.0,2.33,0.0,1.33,1.33,PT. Nutrifood Indonesia
nestle honey star sereal,PT. Nestle Indonesia,1 g,110.0,1.0,25.0,1.0,0.0,10.0,0.0,5.12,1.67,7.69,1.49,0.67,0.0,0.0,2.0,8.0,6.0,0.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.025,0,0,0,0,0,0,4.15,1.54,1.33,5.81,0.0,0.67,0.67,PT. Nestle Indonesia
Es krim Wall's oreo chocolate,PT. Andrawina Darma Manunggal Mulya,1 g,140.0,2.0,21.0,4.0,15.0,0.0,1.0,6.51,3.33,6.46,5.97,0.0,0.0,0.0,0.0,7.0,7.0,6.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Batasi,Batasi,gula sedang (15.00 g),0.0,0,0,0,0,1,1,5.28,3.08,5.33,4.88,2.7,0.0,0.0,PT. Andrawina Darma Manunggal Mulya
Sarimi isi 2 ayam bawang,PT. SARIMI ASLI JAYA,3 g,510.0,13.0,70.0,20.0,3.0,0.0,3.0,23.72,21.67,21.54,29.85,0.0,0.0,0.0,22.0,0.0,24.0,30.0,0.0,3.0,0,3.0,Waspada,Waspada,Aman,Aman,Aman,Waspada,energi %AKG tinggi (23.72%); lemak total %AKG tinggi (29.85%),0.0,2,2,0,0,0,4,19.25,20.0,26.67,16.28,8.11,0.0,0.0,PT. SARIMI ASLI JAYA
Mie Kuah Gaga 100 Xtra Pedas  Jalapeno,Tidak Diketahui,9 g,120.0,9.0,43.0,13.0,2.0,1320.0,0.0,15.35,15.0,13.23,19.4,88.0,0.0,88.0,0.0,0.0,16.0,20.0,0.0,9.0,0,9.0,Batasi,Batasi,Aman,Waspada,Aman,Waspada,energi %AKG sedang (15.35%); lemak total %AKG sedang (19.40%); natrium %AKG tinggi (88.00%),3.3,1,1,0,2,0,4,4.53,13.85,17.33,10.0,0.0,88.0,88.0,Tidak Diketahui
Kin bulgarian style yogurt strawberry,PT. ABC kogyn dairy,4 g,35.0,4.0,29.0,3.5,27.0,50.0,0.0,7.91,6.67,8.92,5.22,3.33,0.0,0.0,7.0,9.0,8.0,0.0,0.0,4.0,0,4.0,Aman,Aman,Aman,Aman,Waspada,Waspada,gula tinggi (27.00 g),0.125,0,0,0,0,2,2,1.32,6.15,4.67,6.74,0.0,3.33,3.33,PT. ABC kogyn dairy
Qtela Tempe,PT. Indofood CBP Sukses Makmur Tbk.,4 g,110.0,4.0,8.0,7.0,0.0,0.0,0.0,5.12,6.67,2.46,10.45,0.0,0.0,0.0,7.0,0.0,6.0,11.0,0.0,4.0,0,4.0,Aman,Batasi,Aman,Aman,Aman,Batasi,lemak total %AKG sedang (10.45%),0.0,0,1,0,0,0,1,4.15,6.15,9.33,1.86,0.0,0.0,0.0,PT. Indofood CBP Sukses Makmur Tbk.
Marie salut cokelat,PT. KHONG GUAN,1 g,90.0,1.0,13.0,3.5,6.0,35.0,0.0,4.19,1.67,4.0,5.22,2.33,0.0,0.0,0.0,4.0,5.0,6.0,0.0,1.0,0,1.0,Aman,Aman,Aman,Aman,Aman,Aman,kandungan pembatas relatif rendah,0.0875,0,0,0,0,0,0,3.4,1.54,4.67,3.02,0.0,2.33,2.33,PT. KHONG GUAN
